covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Total Debt / EBITDA (x),0.0534084106369052,1.0548603733533,0.15143656644896022,-0.24340180554546353,0.35021862681927396,0.7839564524291102,1.4193778287342855,0.0,0.35267843090529805,0.7243295312618971,0.4652818990192668
net_debt_to_ebitda,0.0028183885510794687,1.0028223639419467,0.034300169554218086,-0.06440870843880526,0.0700454855409642,0.9376217073044991,1.0725569659785208,0.0,0.08216835624163484,0.9345128363912648,0.0977136140407039
EBITDA / Interest Expense (x),-0.0010311929935445524,0.9989693385032428,0.056628106966555104,-0.11202024316067428,0.10995785717358518,0.8940261594019847,1.1162310283371681,0.0,-0.018209914630442813,0.9854713932173362,0.021114102322300092
EBIT / Interest Expense (x),-0.0068658147960203985,0.9931577010611015,0.07140293593051113,-0.14681299761024316,0.1330813680182024,0.8634554305487493,1.142342944730931,0.0,-0.09615591721189398,0.923396741489398,0.11497745351738944
fcf_to_debt,0.12543549751380623,1.1336420438718935,6.842945398771401,-13.286491032252219,13.53736202727983,1.697267365523321e-06,757184.348052196,0.0,0.018330629605246774,0.9853750926767794,0.021255089774545887
cfo_to_debt,3.7470882847980005,42.39745279306335,7.897152549414014,-11.731046292472136,19.225222862068136,8.040282870678147e-06,223567259.04450968,0.0,0.47448599496486144,0.6351533826663602,0.654823065693787
Current Ratio (x),0.8993316080485608,2.457959681522471,0.586986431397328,-0.2511406569038933,2.049803873001015,0.7779129450369925,7.766377760563877,0.0,1.5321165191292268,0.12549368403424696,2.994313338215423
cash_to_debt,1.3878655428430273,4.006289666703336,2.2753397525418633,-3.071718424731304,5.847449510417358,0.04634145209807839,346.3498912283647,0.0,0.6099596955982478,0.5418885067132845,0.8839320465521062
log_assets,0.3483866402149977,1.4167799279519377,0.2827386720847639,-0.20577097410781992,0.9025442545378153,0.8140194864748674,2.465868935079199,0.0,1.2321860240984397,0.21787960277676655,2.198396952817184
total_debt__to__ebitda_delta_1yr,0.0035655033491698417,1.003571867317572,0.015731412253283193,-0.027267498093217317,0.034398504791557,0.9731009040696561,1.0349969758112407,0.0,0.22664864995993672,0.8206969593449198,0.2850784867174856
total_debt__to__ebitda_delta_2yr,-0.0057916810273591236,0.9942250584250879,0.14405432044092692,-0.288132960908968,0.2765495988542498,0.7496619098833031,1.3185723507737548,0.0,-0.040204840851921185,0.9679298183105507,0.047025649087839745
ebitda__to__interest_expense_delta_1yr,0.0059235812252765715,1.005941160325812,0.024301504918999205,-0.04170649318608483,0.05355365563663798,0.9591512566922988,1.0550135976752097,0.0,0.24375367883679688,0.8074215972440195,0.30860591775419643
ebitda__to__interest_expense_delta_2yr,0.006285121244136096,1.006304914063692,0.032524642381355856,-0.05746200643336644,0.07003224892163863,0.9441577616258086,1.072542769044217,0.0,0.19324182478141327,0.8467695845583041,0.23995864532807484
ebitda_margin_delta_1yr,0.002465492613793824,1.0024685344400612,0.06613385616623392,-0.12715448363077683,0.1320854688583645,0.8805976241705648,1.1412058526605278,0.0,0.03728033955250647,0.9702614813588265,0.04355449498646874
vol_2yr_ebitda_margin,-0.05761655159428378,0.9440118578872556,0.11701407370358807,-0.28695992173763185,0.17172681854906427,0.750541808645816,1.1873534259732221,0.0,-0.4923899302936331,0.6224437164897767,0.6839847052763817
distance_to_max_leverage,0.0040236496336318915,1.0040317553797335,0.015852991968247066,-0.027047643671335102,0.03509494293859888,0.9733148681259636,1.035718038245817,0.0,0.25381010989541325,0.7996422625856754,0.32257337166487926
rating_numeric,-0.019793524294671433,0.9804010814146478,0.22659252911721853,-0.4639067205302633,0.42431967194092046,0.6288222079335885,1.52855015028433,0.0,-0.0873529430638556,0.9303909723307447,0.1040909966111112
